Game ID,League,Comeback Team (CBT),Opponent Team (OPP),Publication Date,Media Outlet,URL of Article,Headline,Snippet Text,Snippet Type,ATT. Ind. Resillience,ATT. Self-Efficacy,ATT. Team Efficacy/Cohesion,ATT. Verbal Persuasion,ATT. Emotional Reg.,AFT. Momentum Lang.,AFT. Draining Lang,AFT. Perf. Outcome Lang.,Gendered Lang.
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,headline,C,,,,,C,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"De'Aaron Fox scored 26 of his 31 points after halftime and the Sacramento Kings rallied from a 23-point, first-quarter deficit to beat the Atlanta Hawks 117-110 on Friday night.",authorwritten,C,,C,,,C,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"Domantas Sabonis had 25 points and 10 rebounds for the Kings, who snapped a two-game skid.",authorwritten,C,,C,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,Trey Lyles added 19 points and Malik Monk had 15 for the Kings.,authorwritten,,,,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"“We got punched in the mouth, but we didn’t fold,”",playerquote,,,C,,C,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,“We played hard throughout the whole game.”,playerquote,,,C,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,Trae Young led the Hawks with 24 points and matched a career high with five steals.,authorwritten,,,,,,,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"Dejounte Murray had 18 points, but shot 7 for 20 from the floor for Atlanta...",authorwritten,,,,,,,O,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,...which has lost four straight and 10 of 13.,authorwritten,,,,,,,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"For the second straight game, Fox set a career high for made 3-pointers.",authorwritten,C,,,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"He made seven against Portland on Tuesday, then topped that with 8-for-16 shooting from beyond the arc against the Hawks.",authorwritten,,,,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,He’s shown he can knock that shot down.,coachquote,,C,,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"“To set a career high in a game this close, with that many attempts, that shows that he can be a special player in this league.”",coachquote,C,C,,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"The Kings trailed for most of the night, and were down 14 with eight minutes to play...",authorwritten,,,,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,...before closing the game on a 24-5 run.,authorwritten,,,,,,C,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"The Kings shot 12 for 18 (67%) in the fourth quarter, while the Hawks were limited to 7 for 26 (27%).",authorwritten,,,,,,,O,C/O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,The Hawks did not score in the final 4:45 and missed their final eight shots.,authorwritten,,,,,,C,O,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"“Just a huge defensive effort,”",coachquote,,,C,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"...said Brown, whose team held the Hawks to 39% shooting for the game.",authorwritten,,,C,,,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,“It started with our defense tonight.”,coachquote,,,C,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,Jalen Johnson had 16 points and a career-high 15 rebounds.,authorwritten,,,,,,,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"The Hawks were rolling early, building a 31=8 lead in just over eight minutes.",authorwritten,,,,,,O,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,All five starters scored in the first six minutes.,authorwritten,,,O,,,,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"The Kings gradually closed the gap thanks to Monk, who had 13 first-half points off the bench.",authorwritten,C,,,,C,,,C,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"“I just try to provide a spark,”",playerquote,C,,,,,,,,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,"The Hawks ended the first half on an 8-0 run in the final minute thanks to Johnson's 3-pointer and layup, and a three-point play by Young that gave the Hawks a 71-53 lead heading into halftime.",authorwritten,,,O,,,O,,O,
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,Hawks starting forward De'Andre Hunter missed his sixth straight game with right knee inflammation.,authorwritten,,,,,,,,O,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",headline,C,,,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",Ja Morant ended his regrettable absence from professional basketball with a comeback for the ages.,authorwritten,C,,,,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","Morant capped a stirring, 34-point season debut with a spinning dribble in the lane to set up a game-winning floater as time expired in the Memphis Grizzlies' 115-113 victory over the New Orleans Pelicans on Tuesday night.",authorwritten,C,,,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","The Grizzlies, who entered on a five-game skid and were 6-19 during Morant's 25-game suspension..., trailed by 24 in the first half but took a 113-111 lead on Morant's inside basket with 1:22 to go.",authorwritten,C,,C,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","The Pelicans tied it and the teams exchanged missed 3-pointers before Morant finished it off at the horn, leaving much of the crowd stunned as he and his teammates celebrated under the basket.",authorwritten,C,,,,,,C/O,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","“I’ve been putting work in, man,”",playerquote,C,,,,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",“I ain’t play a game in eight months.,playerquote,,,,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",Had a lot of time to learn myself.,playerquote,C,,,,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",A lot of hard days where I went through it.,playerquote,C,,,,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","Grizzlies coach Taylor Jenkins designed the winning play for Morant and called the two-time All-Star's execution of it, 'a special play by a special player.'",authorwritten,,C,,C,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",Morant's point total was the most in NBA history by a player coming back from an absence of at least 25 games.,authorwritten,C,,,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","“He was able to do whatever he wanted,",playerquote,,,,,,,O,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",“Ja was able to get downhill a lot.,playerquote,,,,,,,,O,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",Him doing that opened up the game for the rest of them.,playerquote,,C,,,,,,,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","Jaren Jackson Jr. scored 24 points and Desmond Bane had 21 for Memphis, which also snapped the Pelicans' four-game winning streak.",authorwritten,,,C,,,,,C,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans","Brandon Ingram scored 34 points for New Orleans, but Williamson's time on the court was limited to 24 minutes by foul trouble and he finished with just 13 points.",authorwritten,,,,,,,,O,
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",“BI was great.,coachquote,,,,O,,,,,
